Stephen Curry,48070014,PG,34,34.7,GSW,29.4,6.1,6.3,0.4,0.9,3.2,0.493,0.427
John Wall,47345760,PG,32,22.2,LAC,11.4,2.7,5.2,0.4,0.8,2.4,0.408,0.303
Russell Westbrook,47080179,PG,34,29.1,LAL/LAC,15.9,5.8,7.5,0.5,1,3.5,0.436,0.311
LeBron James,44474988,PF,38,35.5,LAL,28.9,8.3,6.8,0.6,0.9,3.2,0.5,0.321
Kevin Durant,44119845,PF,34,35.6,BRK/PHO,29.1,6.7,5,1.4,0.7,3.3,0.56,0.404
Bradley Beal,43279250,SG,29,33.5,WAS,23.2,3.9,5.4,0.7,0.9,2.9,0.506,0.365
Kawhi Leonard,42492492,SF,31,33.6,LAC,23.8,6.5,3.9,0.5,1.4,1.7,0.512,0.416
Paul George,42492492,SF,32,34.6,LAC,23.8,6.1,5.1,0.4,1.5,3.1,0.457,0.371
Giannis Antetokounmpo,42492492,PF,28,32.1,MIL,31.1,11.8,5.7,0.8,0.8,3.9,0.553,0.275
Damian Lillard,42492492,PG,32,36.3,POR,32.2,4.8,7.3,0.3,0.9,3.3,0.463,0.371
Klay Thompson,40600080,SF,32,33,GSW,21.9,4.1,2.4,0.4,0.7,1.8,0.436,0.412
Kyrie Irving,38917057,PG-SG,30,37.4,BRK/DAL,27.1,5.1,5.5,0.8,1.1,2.1,0.494,0.379
Rudy Gobert,38172414,C,30,30.7,MIN,13.4,11.6,1.2,1.4,0.8,1.7,0.659,0
Khris Middleton,37984276,SF,31,24.3,MIL,15.1,4.2,4.9,0.2,0.7,2.2,0.436,0.315
Anthony Davis,37980720,C,29,34,LAL,25.9,12.5,2.6,2,1.1,2.2,0.563,0.257
Jimmy Butler,37653300,PF,33,33.4,MIA,22.9,5.9,5.3,0.3,1.8,1.6,0.539,0.35
Tobias Harris,37633050,SF,30,32.9,PHI,14.7,5.7,2.5,0.5,0.9,1.2,0.501,0.389
Kemba Walker,37281261,PG,32,16,DAL,8,1.8,2.1,0.2,0.2,0.4,0.421,0.25
Trae Young,37096500,PG,24,34.8,ATL,26.2,3,10.2,0.1,1.1,4.1,0.429,0.335
Zach LaVine,37096500,SG,27,35.9,CHI,24.8,4.5,4.2,0.2,0.9,2.5,0.485,0.375
Ben Simmons,35448672,PG,26,26.3,BRK,6.9,6.3,6.1,0.6,1.3,2.3,0.566,0
Pascal Siakam,35448672,PF,28,37.4,TOR,24.2,7.8,5.8,0.5,0.9,2.4,0.48,0.324
Myles Turner,35096500,C,26,29.4,IND,18,7.5,1.4,2.3,0.6,1.7,0.548,0.373
Jrue Holiday,34319520,PG,32,32.6,MIL,19.3,5.1,7.4,0.4,1.2,2.9,0.479,0.384
Karl-Anthony Towns,33833400,PF,27,33,MIN,20.8,8.1,4.8,0.6,0.7,3,0.495,0.366
Devin Booker,33833400,SG,26,34.6,PHO,27.8,4.5,5.5,0.3,1,2.7,0.494,0.351
Andrew Wiggins,33616770,SF,27,32.2,GSW,17.1,5,2.3,0.8,1.2,1.3,0.473,0.396
Joel Embiid,33616770,C,28,34.6,PHI,33.1,10.2,4.2,1.7,1,3.4,0.548,0.33
CJ McCollum,33333333,SG,31,35.3,NOP,20.9,4.4,5.7,0.5,0.9,2.4,0.437,0.389
James Harden,33000000,PG,33,36.8,PHI,21,6.1,10.7,0.5,1.2,3.4,0.441,0.385
Jamal Murray,31650600,PG,25,32.8,DEN,20,4,6.2,0.2,1,2.2,0.454,0.398
Brandon Ingram,31650600,SF,25,34.2,NOP,24.7,5.5,5.8,0.4,0.7,3.3,0.484,0.39
D'Angelo Russell,31377750,PG,26,32.5,LAL/MIN,17.8,3,6.2,0.4,1,2.6,0.469,0.396
Donovan Mitchell,30913750,SG,26,35.8,CLE,28.3,4.3,4.4,0.4,1.5,2.6,0.484,0.386
Shai Gilgeous-Alexander,30913750,PG,24,35.5,OKC,31.4,4.8,5.5,1,1.6,2.8,0.51,0.345
Deandre Ayton,30913750,C,24,30.4,PHO,18,10,1.7,0.8,0.6,1.8,0.589,0.292
Kevin Love,30556968,PF,34,20,CLE/MIA,8.2,6.4,1.9,0.2,0.3,1.1,0.389,0.334
Jayson Tatum,30351780,SF,24,36.9,BOS,30.1,8.8,4.6,0.7,1.1,2.9,0.466,0.35
Bam Adebayo,30351780,C,25,34.6,MIA,20.4,9.2,3.2,0.8,1.2,2.5,0.54,0.083
De'Aaron Fox,30351780,PG,25,33.4,SAC,25,4.2,6.1,0.3,1.1,2.5,0.512,0.324
